-336.5392	-21.4043	-809.6191
-379.6927	-143.7222	-841.2613
-508.3700	-157.1774	-844.5063
-546.9398	-125.1906	-1005.4841
-641.0754	-100.9164	-1006.2033
-600.8399	95.5088	-982.2931
-681.5943	199.4019	-977.7474
-862.2792	188.2980	-894.0538
-915.3153	92.6997	-854.5703
-874.1552	60.0788	-783.1328
-730.4952	118.6837	-672.8513
-679.1555	346.4205	-701.8784
-676.0668	480.9181	-625.9942
-784.8532	433.1643	-475.5234
-880.2702	392.0844	-410.3080
-937.4441	188.4565	-432.6167
-1045.8252	96.9712	-394.0563
-1040.7085	10.8152	-472.2481
-1128.1630	-94.6311	-476.4759
-1116.6516	-230.9994	-436.7304
-1060.8082	-296.5566	-405.6011
-1069.7982	-312.1063	-530.8052
-1036.7910	-413.4942	-660.1034
-954.5044	-428.8354	-639.9385
-802.6282	-393.2801	-576.7461
-772.6325	-258.5232	-519.4272
-630.1636	-211.8600	-433.5243
-615.3493	-55.4213	-345.7674
-727.2160	-122.1115	-268.1775
-712.3331	-197.7299	-148.3527
-831.4846	-99.3196	-14.0875
-963.4756	-109.2648	114.3387
-933.4998	-289.1768	45.6026
-936.3294	-389.9891	-25.2926
-903.5200	-569.3755	-11.3454
-712.2655	-529.1563	-95.1636
-755.3076	-483.9295	-196.0848
-699.6771	-638.0207	-227.2311
-624.3384	-645.3781	-161.4027
-620.2650	-866.8262	-211.1714
-637.1045	-764.0275	-73.3109
-455.6380	-752.3515	-73.5327
-266.3795	-802.7874	-140.7416
-217.5043	-481.5338	-184.6663
-76.4526	-451.0407	-229.8045
-69.4425	-295.5071	-294.4585
-60.8259	-250.7609	-329.0670
-30.4283	-141.5138	-269.5988
86.4792	-234.0629	-229.5831
46.2820	-60.0506	-358.7871
-3.5640	2.4232	-382.9485
-75.6682	-206.0276	-271.7423
-189.5381	-70.8237	-80.8053
-266.5592	-19.7170	-20.4487
-292.4299	-127.8242	112.1749
-237.6946	-163.0572	135.6353
-26.7892	-193.0052	155.9275
-104.6850	-242.1902	225.3775
-174.1992	-388.0313	276.7899
-137.9281	-147.7868	342.4076
-202.0420	-107.6175	439.0899
-327.4102	-172.0124	449.2832
-384.9799	-46.6865	421.0615
-381.8001	62.5363	560.3183
-336.8786	148.6429	639.1603
-157.0939	171.0425	544.2569
-105.3639	163.2549	433.1768
-291.9400	220.0381	313.7148
-169.7352	128.6609	287.4262
-195.7291	375.1533	346.8266
-166.6376	653.0954	392.0914
-4.1330	744.0126	419.1868
90.1997	873.3608	436.0388
73.4356	1015.3184	341.9206
75.9941	1046.5208	184.3612
99.4444	954.9903	30.5053
104.5959	795.6756	-18.9851
140.4329	475.4280	124.3147
51.7075	401.9435	49.7013
96.7569	499.9672	-150.2989
210.5305	437.5940	-248.1009
277.6477	330.0378	-157.6826
258.1183	235.8413	42.6072
223.7083	225.0554	120.4483
167.8603	105.5679	219.4389
270.3596	103.7874	245.8699
314.1507	-46.8429	151.7580
477.1810	53.9022	28.2472
620.0917	208.0042	-208.0155
715.0301	313.2320	-363.2403
757.6672	498.7076	-401.6397
695.9612	608.3125	-289.4843
660.0033	639.0205	-150.9081
833.7445	593.8846	-67.2844
845.9123	563.9122	7.3475
664.7317	433.6848	131.8258
597.1881	453.0980	228.0428
700.4691	724.1192	259.9440
832.1964	745.6751	347.8576
844.4437	525.4440	467.9172
778.5447	455.8721	503.6096
636.4880	602.6206	585.0549
639.6340	716.6739	698.1800
610.6414	730.2619	873.2713
547.2392	564.5893	956.4053
536.7606	328.1139	753.5511
547.1696	64.2577	476.5832
443.3789	-159.7053	454.4584
355.3336	-154.7682	604.2037
292.0086	-265.3961	748.9960
419.9433	-305.2126	623.8564
512.4518	-267.3074	667.7503
603.0684	-153.4221	905.3837
623.1116	-101.2247	779.1198
722.9447	-73.3657	674.6658
880.9852	-155.4208	705.9389
868.1691	-288.2405	644.0862
693.8286	-217.9828	450.9963
737.2472	-130.7430	416.3905
926.4915	9.4412	435.6834
1061.5545	16.3085	335.6073
1069.1035	27.6880	236.3704
833.9729	-163.9433	185.1795
917.8779	-141.6894	98.2950
1085.0716	-209.1850	83.4171
1211.6992	-312.6125	149.0590
1079.6170	-402.3302	232.0074
878.8205	-435.7947	250.6670
766.7925	-498.1881	255.9631
852.0465	-405.8257	157.2760
701.3549	-369.4802	80.9959
785.2560	-495.6043	-69.6775
762.5224	-682.4767	68.7103
626.9736	-655.5949	166.1854
630.4911	-599.1136	77.2207
555.5626	-610.6581	-26.7589
